model,domain,item,pred_date,horizon,horizon_days,target_date,adjusted_target_date,unit,current_value,point_estimate,ci_50_low,ci_50_high,ci_80_low,ci_80_high,ci_90_low,ci_90_high,actual_value,adjustment_note,status,fetched_at
claude,crypto,ADA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,0.247551,0.248,0.239,0.257,0.231,0.266,0.225,0.272,0.24608197985742547,,resolved,2026-04-06T17:21:43.968357Z
claude,crypto,AVAX,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,8.96,8.85,8.5,9.25,8.1,9.7,7.8,10.1,8.905586351464589,,resolved,2026-04-06T17:21:47.123493Z
claude,crypto,BNB,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,588.59,585.0,570.0,605.0,550.0,625.0,535.0,640.0,588.1023061457563,,resolved,2026-04-06T17:21:50.176345Z
claude,crypto,BTC,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,66793.0,67200.0,65500.0,68900.0,63800.0,70600.0,62500.0,72000.0,66939.69121715311,,resolved,2026-04-06T17:21:53.226620Z
claude,crypto,DOGE,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,0.091766,0.0912,0.0885,0.0948,0.0855,0.0978,0.083,0.1005,0.09156002686470996,,resolved,2026-04-06T17:21:56.275159Z
claude,crypto,DOT,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,1.25,1.25,1.2,1.3,1.14,1.37,1.1,1.42,,CoinGecko failed for polkadot on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/polkadot/history?date=04-04-2026&localization=false,failed,2026-04-06T17:21:59.322968Z
claude,crypto,ETH,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,2048.98,2060.0,1990.0,2130.0,1920.0,2200.0,1870.0,2260.0,,CoinGecko failed for ethereum on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/ethereum/history?date=04-04-2026&localization=false,failed,2026-04-06T17:22:22.446382Z
claude,crypto,LINK,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,8.69,8.65,8.35,8.95,7.95,9.35,7.65,9.65,8.663488656751147,,resolved,2026-04-06T17:22:45.564561Z
claude,crypto,SOL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,80.12,80.5,77.5,83.5,74.0,87.0,71.0,90.0,80.34433585896339,,resolved,2026-04-06T17:23:03.700071Z
claude,crypto,XRP,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,1.32,1.32,1.26,1.38,1.19,1.46,1.14,1.52,1.3177591466741263,,resolved,2026-04-06T17:23:06.748471Z
claude,forex,AUD/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.6890089511871338,0.6888,0.6865,0.6915,0.6845,0.6935,0.683,0.695,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:09.802310Z
claude,forex,EUR/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.1522064208984375,1.1525,1.1481,1.1569,1.1445,1.1605,1.1423,1.1627,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.267037Z
claude,forex,GBP/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.3192298412322998,1.319,1.3165,1.3215,1.314,1.3245,1.312,1.3265,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.423044Z
claude,forex,NZD/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.5686988234519958,0.5687,0.5667,0.5707,0.5652,0.5722,0.5642,0.5732,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.509733Z
claude,forex,USD/CAD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.3944000005722046,1.3944,1.391,1.3978,1.3878,1.401,1.3855,1.4033,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.677235Z
claude,forex,USD/CHF,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.7994199991226196,0.7985,0.7958,0.8012,0.7933,0.8037,0.7919,0.8051,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.845088Z
claude,forex,USD/CNY,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,6.881899833679199,6.885,6.87,6.9,6.855,6.915,6.84,6.93,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:10.996152Z
claude,forex,USD/JPY,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,159.6320037841797,159.3,158.65,159.95,158.07,160.53,157.72,160.88,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.083227Z
claude,forex,USD/MXN,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,17.84712028503418,17.87,17.81,17.93,17.755,17.99,17.72,18.02,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.189056Z
claude,forex,USD/SGD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.2848999500274658,1.2845,1.2818,1.2872,1.2791,1.2899,1.2771,1.2919,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.283306Z
claude,stocks,AAPL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,255.9199981689453,254.5,251.0,258.5,247.0,263.0,243.0,267.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.543489Z
claude,stocks,AMZN,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,209.77000427246094,208.5,204.0,213.5,199.0,218.5,195.0,222.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.819558Z
claude,stocks,BRK-B,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,477.3500061035156,477.5,474.13,480.87,471.23,483.77,469.5,485.5,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:11.927235Z
claude,stocks,GOOGL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,295.7699890136719,294.5,290.0,299.5,284.0,305.0,279.0,310.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.061913Z
claude,stocks,JPM,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,294.6000061035156,289.0,284.0,294.5,278.0,298.5,272.0,302.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.226755Z
claude,stocks,META,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,574.4600219726562,571.0,561.0,581.0,551.0,591.0,544.0,598.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.512913Z
claude,stocks,MSFT,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,373.4599914550781,371.0,364.5,377.5,357.0,384.0,351.0,389.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.682580Z
claude,stocks,NVDA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,177.38999938964844,176.0,171.0,181.5,165.0,187.0,160.0,192.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:12.893630Z
claude,stocks,SPY,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,655.8300170898438,652.0,644.0,660.0,636.0,668.0,630.0,674.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:13.018101Z
claude,stocks,TSLA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,360.5899963378906,358.0,348.0,368.0,338.0,378.0,330.0,386.0,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:23:13.469791Z
claude,weather,Berlin,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,43.6,45.0,42.0,48.0,39.0,51.0,37.0,53.0,51.9,,resolved,2026-04-06T17:23:13.604486Z
claude,weather,Dubai,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,72.7,73.5,71.5,75.5,69.5,77.5,68.0,79.0,72.0,,resolved,2026-04-06T17:23:14.107150Z
claude,weather,Lagos,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,81.3,81.5,80.5,82.5,79.5,83.5,78.8,84.2,82.8,,resolved,2026-04-06T17:23:14.574118Z
claude,weather,London,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,47.2,48.0,45.0,51.0,42.0,54.0,40.0,56.0,52.3,,resolved,2026-04-06T17:23:15.029856Z
claude,weather,Mumbai,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,81.5,82.0,80.5,83.5,79.5,84.5,78.5,85.5,82.1,,resolved,2026-04-06T17:23:15.487166Z
claude,weather,New York,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,49.1,50.5,46.0,55.0,42.0,59.0,39.0,62.0,62.1,,resolved,2026-04-06T17:23:15.961463Z
claude,weather,Sao Paulo,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,71.1,70.5,68.5,72.5,66.5,74.5,65.0,76.0,72.2,,resolved,2026-04-06T17:23:16.519189Z
claude,weather,Sydney,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,69.6,69.0,66.5,71.5,64.0,73.5,62.5,75.0,64.2,,resolved,2026-04-06T17:23:17.230084Z
claude,weather,Tokyo,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,50.9,52.0,49.0,55.0,47.0,57.0,45.5,58.5,59.5,,resolved,2026-04-06T17:23:18.337985Z
claude,weather,Toronto,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,35.3,37.0,33.0,41.0,29.0,45.0,26.0,48.0,39.6,,resolved,2026-04-06T17:23:19.190241Z
gemini,crypto,ADA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,0.24752,0.2475,0.241,0.254,0.235,0.26,0.23,0.265,0.24608197985742547,,resolved,2026-04-06T17:23:19.646308Z
gemini,crypto,AVAX,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,8.96,8.96,8.78,9.14,8.51,9.41,8.24,9.68,8.905586351464589,,resolved,2026-04-06T17:23:22.690466Z
gemini,crypto,BNB,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,588.58,590.0,585.0,595.0,578.0,602.0,572.0,608.0,,CoinGecko failed for binancecoin on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/binancecoin/history?date=04-04-2026&localization=false,failed,2026-04-06T17:23:25.739772Z
gemini,crypto,BTC,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,66800.0,66850.0,65200.0,68500.0,63800.0,70100.0,62900.0,71000.0,,CoinGecko failed for bitcoin on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/bitcoin/history?date=04-04-2026&localization=false,failed,2026-04-06T17:23:48.865541Z
gemini,crypto,DOGE,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,0.091909,0.0919,0.0896,0.0942,0.0864,0.0974,0.0836,0.1002,0.09156002686470996,,resolved,2026-04-06T17:24:11.984893Z
gemini,crypto,DOT,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,1.25,1.25,1.22,1.28,1.18,1.33,1.14,1.36,1.2367161280872758,,resolved,2026-04-06T17:24:30.116162Z
gemini,crypto,ETH,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,2049.6,2049.6,2018.86,2080.34,1988.11,2111.09,1967.62,2131.58,2053.6088145168164,,resolved,2026-04-06T17:24:33.163802Z
gemini,crypto,LINK,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,8.69,8.69,8.6,8.78,8.48,8.9,8.3,9.08,,CoinGecko failed for chainlink on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/chainlink/history?date=04-04-2026&localization=false,failed,2026-04-06T17:24:36.217682Z
gemini,crypto,SOL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,80.21,80.21,77.56,82.97,75.22,85.5,73.88,87.05,,CoinGecko failed for solana on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/solana/history?date=04-04-2026&localization=false,failed,2026-04-06T17:24:59.349673Z
gemini,crypto,XRP,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,1.32,1.33,1.31,1.35,1.28,1.38,1.25,1.41,1.3177591466741263,,resolved,2026-04-06T17:25:22.469186Z
gemini,forex,AUD/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.6886340975761414,0.6886,0.68616,0.69104,0.68407,0.69327,0.68282,0.69458,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:40.606221Z
gemini,forex,EUR/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.1519410610198975,1.1519,1.1485,1.1551,1.1458,1.1581,1.144,1.1598,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:40.707825Z
gemini,forex,GBP/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.3192298412322998,1.3192,1.3136,1.3248,1.3086,1.33,1.3056,1.333,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:40.807029Z
gemini,forex,NZD/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.5691195726394653,0.5691,0.5662,0.572,0.5636,0.5746,0.5621,0.5762,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:40.861463Z
gemini,forex,USD/CAD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.3945000171661377,1.3945,1.3904,1.3987,1.3866,1.4024,1.3844,1.4046,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.026461Z
gemini,forex,USD/CHF,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.8009200096130371,0.8009,0.7982,0.8036,0.7957,0.8061,0.7943,0.8076,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.086259Z
gemini,forex,USD/CNY,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,6.881899833679199,6.8819,6.8704,6.8936,6.8596,6.9042,6.8536,6.9105,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.194543Z
gemini,forex,USD/JPY,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,159.61599731445312,159.7,159.45,159.95,159.2,160.05,159.0,160.15,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.262341Z
gemini,forex,USD/MXN,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,17.858999252319336,17.859,17.7679,17.9501,17.6858,18.0322,17.6368,18.0812,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.362570Z
gemini,forex,USD/SGD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.2869199514389038,1.2869,1.2814,1.2924,1.2764,1.2974,1.2736,1.3003,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.450411Z
gemini,stocks,AAPL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,255.9199981689453,256.0,253.29,258.7,250.84,261.21,249.44,262.78,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.635291Z
gemini,stocks,AMZN,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,209.77000427246094,209.77,207.15,212.37,205.04,214.74,203.57,216.17,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.780531Z
gemini,stocks,BRK-B,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,477.3500061035156,477.51,473.84,481.17,470.62,484.5,468.61,486.53,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.877673Z
gemini,stocks,GOOGL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,295.7699890136719,295.83,292.7,299.0,290.0,301.87,288.75,303.62,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.945813Z
gemini,stocks,JPM,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,294.6000061035156,294.67,292.19,297.18,289.91,299.47,288.63,300.83,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:41.999493Z
gemini,stocks,META,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,574.4600219726562,574.8,565.41,583.98,557.3,592.47,552.49,597.67,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:42.103857Z
gemini,stocks,MSFT,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,373.4599914550781,373.59,369.69,377.58,366.14,381.2,363.95,383.39,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:42.187716Z
gemini,stocks,NVDA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,177.38999938964844,177.46,173.73,181.26,170.42,184.8,168.51,186.99,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:42.338611Z
gemini,stocks,SPY,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,655.8300170898438,656.0,652.54,659.46,649.49,662.62,647.62,664.51,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:42.438845Z
gemini,stocks,TSLA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,360.5899963378906,360.43,350.55,370.47,341.97,379.8,336.9,385.5,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:25:42.532910Z
gemini,weather,Berlin,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,43.6,46.0,44.0,48.0,42.5,49.5,41.0,51.0,51.9,,resolved,2026-04-06T17:25:42.661012Z
gemini,weather,Dubai,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,72.7,75.0,72.6,77.4,70.5,79.5,69.2,80.8,72.0,,resolved,2026-04-06T17:25:43.129264Z
gemini,weather,Lagos,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,81.3,81.5,80.5,82.5,79.5,83.5,79.0,84.0,82.8,,resolved,2026-04-06T17:25:43.589892Z
gemini,weather,London,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,47.2,48.0,46.5,49.5,45.0,51.0,44.0,52.0,52.3,,resolved,2026-04-06T17:25:44.041716Z
gemini,weather,Mumbai,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,81.5,81.7,81.0,82.4,80.5,82.9,80.0,83.4,82.1,,resolved,2026-04-06T17:25:44.500362Z
gemini,weather,New York,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,49.1,49.0,46.5,51.5,44.0,54.0,42.0,56.0,62.1,,resolved,2026-04-06T17:25:44.960646Z
gemini,weather,Sao Paulo,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,71.1,70.8,69.4,72.2,68.2,73.4,67.5,74.1,72.2,,resolved,2026-04-06T17:25:45.410480Z
gemini,weather,Sydney,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,69.6,69.2,67.7,70.7,66.2,72.2,65.2,73.2,64.2,,resolved,2026-04-06T17:25:45.857062Z
gemini,weather,Tokyo,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,50.9,54.5,51.8,57.2,49.4,59.6,47.9,61.1,59.5,,resolved,2026-04-06T17:25:46.328576Z
gemini,weather,Toronto,2026-04-03,1d,1,2026-04-04,2026-04-04,Â°F,35.3,37.0,34.3,39.7,31.9,42.1,30.4,43.6,39.6,,resolved,2026-04-06T17:25:46.784401Z
gpt4o,crypto,ADA,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,0.24752,0.2475,0.245,0.25,0.2425,0.2525,0.24,0.255,0.24608197985742547,,resolved,2026-04-06T17:25:47.241152Z
gpt4o,crypto,AVAX,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,8.96,8.96,8.85,9.07,8.75,9.17,8.7,9.22,8.905586351464589,,resolved,2026-04-06T17:25:50.285033Z
gpt4o,crypto,BNB,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,588.58,588.58,583.69,593.47,578.82,598.34,575.74,601.42,588.1023061457563,,resolved,2026-04-06T17:25:53.332178Z
gpt4o,crypto,BTC,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,66793.0,66793.0,66000.0,67586.0,65000.0,68586.0,64000.0,69586.0,66939.69121715311,,resolved,2026-04-06T17:25:56.378036Z
gpt4o,crypto,DOGE,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,0.091768,0.0918,0.0899,0.0937,0.0882,0.0954,0.087,0.0966,,CoinGecko failed for dogecoin on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/dogecoin/history?date=04-04-2026&localization=false,failed,2026-04-06T17:25:59.425349Z
gpt4o,crypto,DOT,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,1.25,1.25,1.2,1.3,1.15,1.35,1.1,1.4,,CoinGecko failed for polkadot on 2026-04-04: 429 Client Error: Too Many Requests for url: https://api.coingecko.com/api/v3/coins/polkadot/history?date=04-04-2026&localization=false,failed,2026-04-06T17:26:22.550100Z
gpt4o,crypto,ETH,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,2049.6,2052.0,2025.0,2079.0,2008.0,2096.0,1998.0,2106.0,2053.6088145168164,,resolved,2026-04-06T17:26:45.681078Z
gpt4o,crypto,LINK,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,8.69,8.7,8.65,8.75,8.6,8.8,8.55,8.85,8.663488656751147,,resolved,2026-04-06T17:27:03.955307Z
gpt4o,crypto,SOL,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,80.12,80.12,78.5,81.74,77.3,82.94,76.5,83.74,80.34433585896339,,resolved,2026-04-06T17:27:07.000876Z
gpt4o,crypto,XRP,2026-04-03,1d,1,2026-04-04,2026-04-04,USD,1.32,1.32,1.3,1.34,1.28,1.36,1.27,1.37,1.3177591466741263,,resolved,2026-04-06T17:27:10.049187Z
gpt4o,forex,AUD/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.6886340975761414,0.6886,0.686,0.6912,0.684,0.6932,0.6825,0.6947,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:27:13.097853Z
gpt4o,forex,EUR/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.1519410610198975,1.1519,1.1509,1.1529,1.15,1.1538,1.1495,1.1543,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:27:13.234249Z
gpt4o,forex,GBP/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.3192298412322998,1.3192,1.3172,1.3212,1.315,1.3234,1.3135,1.3249,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:27:13.287983Z
gpt4o,forex,NZD/USD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.5691195726394653,0.5691,0.5679,0.5703,0.5667,0.5715,0.5659,0.5723,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:27:13.422585Z
gpt4o,forex,USD/CAD,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,1.3945000171661377,1.3945,1.3935,1.3955,1.3925,1.3965,1.3915,1.3975,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:27:13.547224Z
gpt4o,forex,USD/CHF,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,0.8009200096130371,0.801,0.8005,0.8015,0.8002,0.8018,0.8,0.802,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:27:13.635467Z
gpt4o,forex,USD/CNY,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,6.881899833679199,6.8821,6.8771,6.8871,6.8731,6.8911,6.8701,6.8941,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:27:13.762760Z
gpt4o,forex,USD/JPY,2026-04-03,1d,1,2026-04-04,2026-04-04,rate,159.61599731445312,159.616,159.1,160.13,158.7,160.53,158.5,160.73,,"float() argument must be a string or a real number, not 'Series'",failed,2026-04-06T17:27:13.870403Z
